index,name,stage,kind,scale_group,array_width,array_height,magnification,display_low,display_high,value_min,value_max,value_mean,finite_elements,elements,engine_expression,image
46,46_solve_L2i3_weight,solve level 2,unit,weight,128,128,3,0.0,1.0,0.034879621118307114,1.0,0.8761381506919861,16129,16384,"options.norm.weights(residual, threshold)",fig/steps/46_solve_L2i3_weight.png
47,47_solve_L2i4_residual,solve level 2,signed,level2,128,128,3,-0.13629132509231567,0.13629132509231567,-0.4598996639251709,0.556272029876709,0.0026514611672610044,16129,16384,difference - gain,fig/steps/47_solve_L2i4_residual.png
48,48_solve_L2i4_weight,solve level 2,unit,weight,128,128,3,0.0,1.0,0.03489690646529198,1.0,0.8762396574020386,16129,16384,"options.norm.weights(residual, threshold)",fig/steps/48_solve_L2i4_weight.png
49,49_solve_L1i0_difference,solve level 1,signed,level1,256,256,2,-0.1804898047447203,0.1804898047447203,-0.6996322870254517,0.6878670454025269,-0.004298408515751362,65025,65536,"bv - a.value[y, x]",fig/steps/49_solve_L1i0_difference.png
50,50_solve_L1i0_residual,solve level 1,signed,level1,256,256,2,-0.1804898047447203,0.1804898047447203,-0.6926501989364624,0.6948491334915161,0.002683693775907159,65025,65536,difference - gain,fig/steps/50_solve_L1i0_residual.png
51,51_solve_L1i0_weight,solve level 1,unit,weight,256,256,2,0.0,1.0,0.03825092315673828,1.0,0.874555230140686,65025,65536,"options.norm.weights(residual, threshold)",fig/steps/51_solve_L1i0_weight.png
52,52_solve_L0i0_difference,solve level 0,signed,level0,256,256,2,-0.24749317169189433,0.24749317169189433,-0.8344892859458923,0.7804334163665771,-0.004254535771906376,65280,65536,"bv - a.value[y, x]",fig/steps/52_solve_L0i0_difference.png
53,53_solve_L0i0_residual,solve level 0,signed,level0,256,256,2,-0.24749317169189433,0.24749317169189433,-0.8278136849403381,0.7871090173721313,0.002421088982373476,65280,65536,difference - gain,fig/steps/53_solve_L0i0_residual.png
54,54_solve_L0i0_weight,solve level 0,unit,weight,256,256,2,0.0,1.0,0.04656574875116348,1.0,0.8867690563201904,65280,65536,"options.norm.weights(residual, threshold)",fig/steps/54_solve_L0i0_weight.png
55,55_solve_L0i1_residual,solve level 0,signed,level0,256,256,2,-0.24749317169189433,0.24749317169189433,-0.8296036720275879,0.7870033979415894,0.0024344183038920164,65280,65536,difference - gain,fig/steps/55_solve_L0i1_residual.png
56,56_solve_L0i1_weight,solve level 0,unit,weight,256,256,2,0.0,1.0,0.04638203606009483,1.0,0.886594831943512,65280,65536,"options.norm.weights(residual, threshold)",fig/steps/56_solve_L0i1_weight.png
57,57_residual_identity,before and after,signed,level0,256,256,2,-0.24749317169189433,0.24749317169189433,-0.7858390808105469,0.7811489105224609,0.002141224220395088,65536,65536,"difference - gain, at the identity transform",fig/steps/57_residual_identity.png
58,58_residual_fitted,before and after,signed,level0,256,256,2,-0.24749317169189433,0.24749317169189433,-0.8296036720275879,0.7870033979415894,0.0024344183038920164,65280,65536,"difference - gain, at the fitted transform",fig/steps/58_residual_fitted.png
59,59_pair_plan,reconcile,plan,,240,240,2,0.0,16.0,0.0,16.0,0.24649305641651154,57600,57600,"_plan_pairs(MULTILAG, frames, 0, lags)",fig/steps/59_pair_plan.png
60,60_warp_input_bf_last,warp,intensity,,512,512,1,2822.0,9877.0,2296.0,14415.0,6222.1357421875,262144,262144,"recording page 239, channel BF",fig/steps/60_warp_input_bf_last.png
61,61_warp_output_bf_last,warp,intensity,,512,512,1,2817.0,9852.0,2296.0,14415.0,6212.9072265625,260096,262144,"warp_plane(frame, cumulative[last], NONE, nan)",fig/steps/61_warp_output_bf_last.png
62,62_warp_vacated_bf_last,warp,mask,,512,512,1,0.0,1.0,0.0,1.0,0.0078125,262144,262144,~isfinite(warp_plane(...)),fig/steps/62_warp_vacated_bf_last.png
63,63_warp_output_bioluminescence_last,warp,intensity,,512,512,1,2032.0,3717.0,1935.0,65535.0,2408.050048828125,260096,262144,"warp_plane(frame, cumulative[last], NONE, nan)",fig/steps/63_warp_output_bioluminescence_last.png
64,64_warp_output_rfp_last,warp,intensity,,512,512,1,2112.0,7734.0,2013.0,8974.0,3409.1103515625,260096,262144,"warp_plane(frame, cumulative[last], NONE, nan)",fig/steps/64_warp_output_rfp_last.png
65,65_warp_output_gfp_last,warp,intensity,,512,512,1,3636.0,14969.0,2510.0,15893.0,9786.056640625,260096,262144,"warp_plane(frame, cumulative[last], NONE, nan)",fig/steps/65_warp_output_gfp_last.png
66,66_common_valid_field,crop,mask,,512,512,1,0.0,1.0,0.0,1.0,0.988311767578125,262144,262144,"valid_margin(cumulative, width, height, NONE)",fig/steps/66_common_valid_field.png
67,67_cropped_bf_last,crop,intensity,,508,510,1,2836.0,9853.0,2296.0,14415.0,6214.64306640625,259080,259080,"warped[margin.top:-margin.bottom, margin.left:-margin.right]",fig/steps/67_cropped_bf_last.png
