element,key,value_number,value_text,note
planned_pair,12-16,4.0,lag,drawn in the adjacency map
planned_pair,12-20,8.0,lag,drawn in the adjacency map
planned_pair,12-28,16.0,lag,drawn in the adjacency map
planned_pair,13-14,1.0,lag,drawn in the adjacency map
planned_pair,13-15,2.0,lag,drawn in the adjacency map
planned_pair,13-17,4.0,lag,drawn in the adjacency map
planned_pair,13-21,8.0,lag,drawn in the adjacency map
planned_pair,13-29,16.0,lag,drawn in the adjacency map
planned_pair,14-15,1.0,lag,drawn in the adjacency map
planned_pair,14-16,2.0,lag,drawn in the adjacency map
planned_pair,14-18,4.0,lag,drawn in the adjacency map
planned_pair,14-22,8.0,lag,drawn in the adjacency map
planned_pair,14-30,16.0,lag,drawn in the adjacency map
planned_pair,15-16,1.0,lag,drawn in the adjacency map
planned_pair,15-17,2.0,lag,drawn in the adjacency map
planned_pair,15-19,4.0,lag,drawn in the adjacency map
planned_pair,15-23,8.0,lag,drawn in the adjacency map
planned_pair,15-31,16.0,lag,drawn in the adjacency map
planned_pair,16-17,1.0,lag,drawn in the adjacency map
planned_pair,16-18,2.0,lag,drawn in the adjacency map
planned_pair,16-20,4.0,lag,drawn in the adjacency map
planned_pair,16-24,8.0,lag,drawn in the adjacency map
planned_pair,16-32,16.0,lag,drawn in the adjacency map
planned_pair,17-18,1.0,lag,drawn in the adjacency map
planned_pair,17-19,2.0,lag,drawn in the adjacency map
planned_pair,17-21,4.0,lag,drawn in the adjacency map
planned_pair,17-25,8.0,lag,drawn in the adjacency map
planned_pair,17-33,16.0,lag,drawn in the adjacency map
planned_pair,18-19,1.0,lag,drawn in the adjacency map
planned_pair,18-20,2.0,lag,drawn in the adjacency map
planned_pair,18-22,4.0,lag,drawn in the adjacency map
planned_pair,18-26,8.0,lag,drawn in the adjacency map
planned_pair,18-34,16.0,lag,drawn in the adjacency map
planned_pair,19-20,1.0,lag,drawn in the adjacency map
planned_pair,19-21,2.0,lag,drawn in the adjacency map
planned_pair,19-23,4.0,lag,drawn in the adjacency map
planned_pair,19-27,8.0,lag,drawn in the adjacency map
planned_pair,19-35,16.0,lag,drawn in the adjacency map
planned_pair,20-21,1.0,lag,drawn in the adjacency map
planned_pair,20-22,2.0,lag,drawn in the adjacency map
planned_pair,20-24,4.0,lag,drawn in the adjacency map
planned_pair,20-28,8.0,lag,drawn in the adjacency map
planned_pair,20-36,16.0,lag,drawn in the adjacency map
planned_pair,21-22,1.0,lag,drawn in the adjacency map
planned_pair,21-23,2.0,lag,drawn in the adjacency map
planned_pair,21-25,4.0,lag,drawn in the adjacency map
planned_pair,21-29,8.0,lag,drawn in the adjacency map
planned_pair,21-37,16.0,lag,drawn in the adjacency map
planned_pair,22-23,1.0,lag,drawn in the adjacency map
planned_pair,22-24,2.0,lag,drawn in the adjacency map
planned_pair,22-26,4.0,lag,drawn in the adjacency map
planned_pair,22-30,8.0,lag,drawn in the adjacency map
planned_pair,22-38,16.0,lag,drawn in the adjacency map
planned_pair,23-24,1.0,lag,drawn in the adjacency map
planned_pair,23-25,2.0,lag,drawn in the adjacency map
planned_pair,23-27,4.0,lag,drawn in the adjacency map
planned_pair,23-31,8.0,lag,drawn in the adjacency map
planned_pair,23-39,16.0,lag,drawn in the adjacency map
planned_pair,24-25,1.0,lag,drawn in the adjacency map
planned_pair,24-26,2.0,lag,drawn in the adjacency map
planned_pair,24-28,4.0,lag,drawn in the adjacency map
planned_pair,24-32,8.0,lag,drawn in the adjacency map
planned_pair,24-40,16.0,lag,drawn in the adjacency map
planned_pair,25-26,1.0,lag,drawn in the adjacency map
planned_pair,25-27,2.0,lag,drawn in the adjacency map
planned_pair,25-29,4.0,lag,drawn in the adjacency map
planned_pair,25-33,8.0,lag,drawn in the adjacency map
planned_pair,25-41,16.0,lag,drawn in the adjacency map
planned_pair,26-27,1.0,lag,drawn in the adjacency map
planned_pair,26-28,2.0,lag,drawn in the adjacency map
planned_pair,26-30,4.0,lag,drawn in the adjacency map
planned_pair,26-34,8.0,lag,drawn in the adjacency map
planned_pair,26-42,16.0,lag,drawn in the adjacency map
planned_pair,27-28,1.0,lag,drawn in the adjacency map
planned_pair,27-29,2.0,lag,drawn in the adjacency map
planned_pair,27-31,4.0,lag,drawn in the adjacency map
planned_pair,27-35,8.0,lag,drawn in the adjacency map
planned_pair,27-43,16.0,lag,drawn in the adjacency map
planned_pair,28-29,1.0,lag,drawn in the adjacency map
planned_pair,28-30,2.0,lag,drawn in the adjacency map
planned_pair,28-32,4.0,lag,drawn in the adjacency map
planned_pair,28-36,8.0,lag,drawn in the adjacency map
planned_pair,28-44,16.0,lag,drawn in the adjacency map
planned_pair,29-30,1.0,lag,drawn in the adjacency map
planned_pair,29-31,2.0,lag,drawn in the adjacency map
planned_pair,29-33,4.0,lag,drawn in the adjacency map
planned_pair,29-37,8.0,lag,drawn in the adjacency map
planned_pair,29-45,16.0,lag,drawn in the adjacency map
planned_pair,30-31,1.0,lag,drawn in the adjacency map
planned_pair,30-32,2.0,lag,drawn in the adjacency map
planned_pair,30-34,4.0,lag,drawn in the adjacency map
planned_pair,30-38,8.0,lag,drawn in the adjacency map
planned_pair,30-46,16.0,lag,drawn in the adjacency map
planned_pair,31-32,1.0,lag,drawn in the adjacency map
planned_pair,31-33,2.0,lag,drawn in the adjacency map
planned_pair,31-35,4.0,lag,drawn in the adjacency map
planned_pair,31-39,8.0,lag,drawn in the adjacency map
planned_pair,31-47,16.0,lag,drawn in the adjacency map
planned_pair,32-33,1.0,lag,drawn in the adjacency map
planned_pair,32-34,2.0,lag,drawn in the adjacency map
planned_pair,32-36,4.0,lag,drawn in the adjacency map
planned_pair,32-40,8.0,lag,drawn in the adjacency map
planned_pair,32-48,16.0,lag,drawn in the adjacency map
planned_pair,33-34,1.0,lag,drawn in the adjacency map
planned_pair,33-35,2.0,lag,drawn in the adjacency map
planned_pair,33-37,4.0,lag,drawn in the adjacency map
planned_pair,33-41,8.0,lag,drawn in the adjacency map
planned_pair,33-49,16.0,lag,drawn in the adjacency map
planned_pair,34-35,1.0,lag,drawn in the adjacency map
planned_pair,34-36,2.0,lag,drawn in the adjacency map
planned_pair,34-38,4.0,lag,drawn in the adjacency map
planned_pair,34-42,8.0,lag,drawn in the adjacency map
planned_pair,34-50,16.0,lag,drawn in the adjacency map
planned_pair,35-36,1.0,lag,drawn in the adjacency map
planned_pair,35-37,2.0,lag,drawn in the adjacency map
planned_pair,35-39,4.0,lag,drawn in the adjacency map
planned_pair,35-43,8.0,lag,drawn in the adjacency map
planned_pair,35-51,16.0,lag,drawn in the adjacency map
planned_pair,36-37,1.0,lag,drawn in the adjacency map
planned_pair,36-38,2.0,lag,drawn in the adjacency map
planned_pair,36-40,4.0,lag,drawn in the adjacency map
planned_pair,36-44,8.0,lag,drawn in the adjacency map
planned_pair,36-52,16.0,lag,drawn in the adjacency map
planned_pair,37-38,1.0,lag,drawn in the adjacency map
planned_pair,37-39,2.0,lag,drawn in the adjacency map
planned_pair,37-41,4.0,lag,drawn in the adjacency map
planned_pair,37-45,8.0,lag,drawn in the adjacency map
planned_pair,37-53,16.0,lag,drawn in the adjacency map
planned_pair,38-39,1.0,lag,drawn in the adjacency map
planned_pair,38-40,2.0,lag,drawn in the adjacency map
planned_pair,38-42,4.0,lag,drawn in the adjacency map
planned_pair,38-46,8.0,lag,drawn in the adjacency map
planned_pair,38-54,16.0,lag,drawn in the adjacency map
planned_pair,39-40,1.0,lag,drawn in the adjacency map
planned_pair,39-41,2.0,lag,drawn in the adjacency map
planned_pair,39-43,4.0,lag,drawn in the adjacency map
planned_pair,39-47,8.0,lag,drawn in the adjacency map
planned_pair,39-55,16.0,lag,drawn in the adjacency map
planned_pair,40-41,1.0,lag,drawn in the adjacency map
planned_pair,40-42,2.0,lag,drawn in the adjacency map
planned_pair,40-44,4.0,lag,drawn in the adjacency map
planned_pair,40-48,8.0,lag,drawn in the adjacency map
planned_pair,40-56,16.0,lag,drawn in the adjacency map
planned_pair,41-42,1.0,lag,drawn in the adjacency map
planned_pair,41-43,2.0,lag,drawn in the adjacency map
planned_pair,41-45,4.0,lag,drawn in the adjacency map
planned_pair,41-49,8.0,lag,drawn in the adjacency map
planned_pair,41-57,16.0,lag,drawn in the adjacency map
planned_pair,42-43,1.0,lag,drawn in the adjacency map
planned_pair,42-44,2.0,lag,drawn in the adjacency map
planned_pair,42-46,4.0,lag,drawn in the adjacency map
planned_pair,42-50,8.0,lag,drawn in the adjacency map
planned_pair,42-58,16.0,lag,drawn in the adjacency map
planned_pair,43-44,1.0,lag,drawn in the adjacency map
planned_pair,43-45,2.0,lag,drawn in the adjacency map
planned_pair,43-47,4.0,lag,drawn in the adjacency map
planned_pair,43-51,8.0,lag,drawn in the adjacency map
planned_pair,43-59,16.0,lag,drawn in the adjacency map
planned_pair,44-45,1.0,lag,drawn in the adjacency map
planned_pair,44-46,2.0,lag,drawn in the adjacency map
planned_pair,44-48,4.0,lag,drawn in the adjacency map
planned_pair,44-52,8.0,lag,drawn in the adjacency map
planned_pair,44-60,16.0,lag,drawn in the adjacency map
planned_pair,45-46,1.0,lag,drawn in the adjacency map
planned_pair,45-47,2.0,lag,drawn in the adjacency map
planned_pair,45-49,4.0,lag,drawn in the adjacency map
